name,category,location,area_sqft,price,link,latitude,longitude,nearestMRT,distance
New Futura,Condo,14 Leonie Hill Road · D9,1830,5500000,https://www.99.co/singapore/sale/property/new-futura-condo-saY2xLptfLQeFd7QWFCnkY,1.298893,103.8342507,Somerset,0.0046175836852300305
Forte Suites,Condo,88 Mergui Road · Floor #16,678,1280000,https://www.99.co/singapore/sale/property/forte-suites-condo-7RcMBihmx59ZbnVtsgb9sf,1.349718,103.881869,Bartley,0.007624392539736268
New Futura,Condo,14 Leonie Hill Road · D9,1098,3800000,https://www.99.co/singapore/sale/property/new-futura-condo-QSnrhPLkmEdkSdRQdf596b,1.298893,103.8342507,Somerset,0.0046175836852300305
Sims Urban Oasis,Condo,10 Sims Drive · D14,1539,2161000,https://www.99.co/singapore/sale/property/sims-urban-oasis-condo-mys2GRjwJqWT9GAzPcwVTo,1.3191159,103.8810982,Aljunied,0.0032187204942349273
Highline Residences,Condo,7 Kim Tian Road · Floor #33,700,1480800,https://www.99.co/singapore/sale/property/highline-residences-condo-LK3YhZoqVX7oy4S5CihVv8,1.2847351,103.8297862,Tiong Bahru,0.003317881771557787
Grandeur Park Residences,Condo,7 Bedok South Avenue 3 · D16,1453,2080000,https://www.99.co/singapore/sale/property/grandeur-park-residences-condo-G2p6X6hstjKth8eiEmUsu6,1.3235186,103.9448081,Tanah Merah,0.004087708918207205
Gramercy Park,Condo,57 Grange Road · Floor #21,1292,4476000,https://www.99.co/singapore/sale/property/gramercy-park-condo-Tw6dSdL9nUW7UXguYod7z,1.2984124,103.8265691,Orchard,0.007647164024006769
8 Farrer Suites,Apartment,8 Sing Joo Walk · D8,969,1600000,https://www.99.co/singapore/sale/property/8-farrer-suites-condo-2kQ4yua5TtvWx7Y5Lk6Egn,1.31481,103.854756,Farrer Park,0.0021983377811426942
Rivertrees Residences,Condo,37 Fernvale Close · D28,581,750000,https://www.99.co/singapore/sale/property/rivertrees-residences-condo-TbeU3K6VT4GXLYPMbrHRDF,1.3937854,103.880661,Layar,0.0017912870233491537
Margaret Ville,Condo,20 Margaret Drive · D3,915,1581400,https://www.99.co/singapore/sale/property/margaret-ville-condo-EARMvYVtt5KS458NMmBn2N,1.2992281,103.802964,Queenstown,0.005284606340114343
The Enclave . Holland,Condo,131 Holland Road · D10,1389,3200000,https://www.99.co/singapore/sale/property/the-enclave-holland-condo-oTuj2u4f6hTskjkwKrSfNb,1.3122774,103.799119,Holland Village,0.003193578823203022
Gem Residences,Condo,1 Lorong 5 Toa Payoh · D12,678,1188000,https://www.99.co/singapore/sale/property/gem-residences-condo-KfGEaAEUSPhJwK76NKhbRk,1.333181,103.85447,Toa Payoh,0.007096049515754436
Forte Suites,Condo,88 Mergui Road · D8,700,1381100,https://www.99.co/singapore/sale/property/forte-suites-condo-A7cd8wubErQMuj5S2xY3ER,1.349718,103.881869,Bartley,0.007624392539736268
Signature At Yishun,Executive Condo,39 Yishun Street 51 · Floor #02,1184,903000,https://www.99.co/singapore/sale/property/signature-at-yishun-condo-dCbAo5swH2eo2SbfTJp8G8,1.4173761,103.8446222,Khatib,0.011649133171627947
Park Colonial,Condo,2 Woodleigh Lane · D13,1184,2090000,https://www.99.co/singapore/sale/property/park-colonial-condo-CS2vChAEQgocTbHc2t6kYN,1.3190408,103.8281809,Stevens,0.002418993385694776
Margaret Ville,Condo,20 Margaret Drive · D3,1180,2048000,https://www.99.co/singapore/sale/property/margaret-ville-condo-yuF5zSjYwFRfbErSKHdYj3,1.2992281,103.802964,Queenstown,0.005284606340114343
The Tre Ver,Condo,110 Potong Pasir Avenue 1 · D13,1011,1537000,https://www.99.co/singapore/sale/property/the-tre-ver-condo-TwS8btaBWXCNwDA6YU37QB,1.3364414,103.8651531,Woodleigh,0.006196602749895614
26 Newton,Condo,26 Newton Road · Floor #15,614,1645000,https://www.99.co/singapore/sale/property/26-newton-condo-QU22mxbLbvwzG6TscEt3tj,1.3156897,103.8415977,Newton,0.004307662475160699
Margaret Ville,Condo,20 Margaret Drive · D3,915,1580000,https://www.99.co/singapore/sale/property/margaret-ville-condo-nxAg2XaoCHSvYVMLbYSQvd,1.2992281,103.802964,Queenstown,0.005284606340114343
Kingsford Waterbay,Condo,52 Upper Serangoon View · Floor #04,850,1115000,https://www.99.co/singapore/sale/property/kingsford-waterbay-condo-KKSDHUsxP4Zea2L5W6U6od,1.3747664,103.9034487,Kangkar,0.009221088770855658
Gem Residences,Condo,1 Lorong 5 Toa Payoh · D12,1249,1830000,https://www.99.co/singapore/sale/property/gem-residences-condo-nGKZkvpoipeXKNgT9skkrX,1.333181,103.85447,Toa Payoh,0.007096049515754436
Margaret Ville,Condo,20 Margaret Drive · D3,1184,2049000,https://www.99.co/singapore/sale/property/margaret-ville-condo-DVkcergLJvdf7MGKYomGBc,1.2992281,103.802964,Queenstown,0.005284606340114343
The Tre Ver,Condo,110 Potong Pasir Avenue 1 · D13,616,898500,https://www.99.co/singapore/sale/property/the-tre-ver-condo-AXmm3JexMwXwzwLQMs3b3G,1.3364414,103.8651531,Woodleigh,0.006196602749895614
The Criterion,Executive Condo,7 Yishun Street 51 · Floor #02,1249,988800,https://www.99.co/singapore/sale/property/the-criterion-condo-fnbV4hMYSm2CYydd8j3Kam,1.418324,103.845305,Khatib,0.012370438476471353
Gem Residences,Condo,1 Lorong 5 Toa Payoh · D12,1249,1836000,https://www.99.co/singapore/sale/property/gem-residences-condo-ihoZw2KeysaWUjp87nsFRG,1.333181,103.85447,Toa Payoh,0.007096049515754436
Artra,Condo,10 Alexandra View · D3,1227,1879800,https://www.99.co/singapore/sale/property/artra-condo-b6byHFXdoEJZG8q62tdvtN,1.2900845,103.8166799,Redhill,0.00045852359808695227
326 Serangoon Avenue 3,HDB 3 Rooms,D19,689,385000,https://www.99.co/singapore/sale/property/326-serangoon-avenue-3-hdb-jZCJWKibfrfh2wJTFYSbk6,1.3503548,103.8690239,Lorong Chuan,0.004234384115781228
Grandeur Park Residences,Condo,7 Bedok South Avenue 3 · D16,1238,1878000,https://www.99.co/singapore/sale/property/grandeur-park-residences-condo-rsCCqEBB2KPhGe2iPcAGDD,1.3235186,103.9448081,Tanah Merah,0.004087708918207205
26 Newton,Condo,26 Newton Road · D11,850,1729187,https://www.99.co/singapore/sale/property/26-newton-condo-ytiKMpcKrVJxAqJft5yy7V,1.3156897,103.8415977,Newton,0.004307662475160699
Reflections At Keppel Bay,Condo,5 Keppel Bay View · D4,1733,2657500,https://www.99.co/singapore/sale/property/reflections-at-keppel-bay-condo-6TB77tvqmCjfawNRVeXwBf,1.2666139,103.81036,Telok Blangah,0.0041295260854005865
Kingsford Waterbay,Condo,52 Upper Serangoon View · Floor #04,979,1321365,https://www.99.co/singapore/sale/property/kingsford-waterbay-condo-49sSExkWy9YoAfowahVGFX,1.3747664,103.9034487,Kangkar,0.009221088770855658
Le Quest,Condo,2 Bukit Batok Street 41 · D23,700,990000,https://www.99.co/singapore/sale/property/le-quest-condo-ZuAvK6S8PHirSwpiZwaBJR,1.351044,103.741738,Bukit Batok,0.007902417278911656
Northwave,Executive Condo,103 Woodlands View · D25,990,753000,https://www.99.co/singapore/sale/property/northwave-condo-SZkjoFsaWuK7ZJF5kuUD4d,1.4438211,103.8104748,Admiralty,0.010038333886649708
Skies Miltonia,Condo,11 Miltonia Close · D27,2551,2440000,https://www.99.co/singapore/sale/property/skies-miltonia-condo-z7psPoxVHSu9YAs876QVTg,1.4181309,103.8481353,Khatib,0.015182383594158797
New Futura,Condo,14 Leonie Hill Road · D9,1830,5500000,https://www.99.co/singapore/sale/property/new-futura-condo-uU7mM2xJhXJmJkcM3YijS5,1.298893,103.8342507,Somerset,0.0046175836852300305
Park Colonial,Condo,2 Woodleigh Lane · D13,506,860000,https://www.99.co/singapore/sale/property/park-colonial-condo-9HE6H6YJbzWpH5GVoNRCZV,1.3190408,103.8281809,Stevens,0.002418993385694776
Forte Suites,Condo,88 Mergui Road · D8,678,1290000,https://www.99.co/singapore/sale/property/forte-suites-condo-hLYwjFTuCYNFhzj5oJAsuF,1.349718,103.881869,Bartley,0.007624392539736268
Martin Modern,Condo,10 Martin Place · D9,764,1928000,https://www.99.co/singapore/sale/property/martin-modern-condo-LALQHMMCyrFB3Pn9BbxByU,1.2921365,103.838457,Fort Canning,0.006305055270175611
Neem Tree,Condo,30 Jalan Kemaman · Floor #12,505,925800,https://www.99.co/singapore/sale/property/neem-tree-condo-FccEn2gR4cGpXecbUugTXA,1.3273984,103.8512643,Toa Payoh,0.006249512660995757
South Beach Residences,Condo,28 Beach Road · D7,1733,6060000,https://www.99.co/singapore/sale/property/south-beach-residences-condo-UNwmeyFRfbTjcfteNuU38R,1.2940548,103.8557465,Esplanade,0.0003890252690952632
Martin Modern,Condo,10 Martin Place · Floor #18,1733,4552420,https://www.99.co/singapore/sale/property/martin-modern-condo-HLudGhJjR43PrTiix5uy4C,1.2939878,103.8388698,Fort Canning,0.006184155409598079
Kingsford Waterbay,Condo,52 Upper Serangoon View · Floor #04,678,967000,https://www.99.co/singapore/sale/property/kingsford-waterbay-condo-LkRJmRr7YVbUN6qSxH7yAB,1.3747664,103.9034487,Kangkar,0.009221088770855658
Twin VEW,Condo,91 West Coast Vale · D5,480,672000,https://www.99.co/singapore/sale/property/twin-vew-condo-Z2dMfZdqgQPD64vxTjhMkU,1.3196983,103.7522372,Clementi,0.013739741436077315
Artra,Condo,10 Alexandra View · D3,786,1470000,https://www.99.co/singapore/sale/property/artra-condo-7r3NL8hHbHYPtRzzqje2L4,1.2900845,103.8166799,Redhill,0.00045852359808695227
Forest Woods,Condo,19 Lorong Lew Lian · D19,1281,1990000,https://www.99.co/singapore/sale/property/forest-woods-condo-uRuZKB7BgxpcRC4pyXfAXQ,1.3502492,103.8774468,Serangoon,0.0038596631070671713
Highline Residences,Condo,7 Kim Tian Road · D3,700,1480000,https://www.99.co/singapore/sale/property/highline-residences-condo-3U7XPPeN2rWFwYUsQ4V5UY,1.2847351,103.8297862,Tiong Bahru,0.003317881771557787
Wallich Residence,Condo,3 Wallich Street · D2,1658,6750000,https://www.99.co/singapore/sale/property/wallich-residence-condo-24wBZ3wPC9YwgEPgMveRg3,1.2770913,103.8455579,Tanjong Pagar,0.0014296338587075227
Wallich Residence,Condo,3 Wallich Street · D2,861,2757400,https://www.99.co/singapore/sale/property/wallich-residence-condo-rradvzUonVeoCN5CAQtgdG,1.2770913,103.8455579,Tanjong Pagar,0.0014296338587075227
Gem Residences,Condo,3 Lorong 5 Toa Payoh · D12,1313,1900000,https://www.99.co/singapore/sale/property/gem-residences-condo-DHGGv7wHdoe7bUTmCHy7gR,1.333181,103.85447,Toa Payoh,0.007096049515754436
Sophia Hills,Condo,11 Mount Sophia · Floor #02,570,1030000,https://www.99.co/singapore/sale/property/sophia-hills-condo-yVhnPYxuaKu43UqRvcx9Ym,1.2987028,103.8470042,Dhoby Ghaut,0.001777463344210774
Reflections At Keppel Bay,Condo,3 Keppel Bay View · D4,1830,3390000,https://www.99.co/singapore/sale/property/reflections-at-keppel-bay-condo-qGb7iYQj42pNeckXpXUJiR,1.2666139,103.81036,Telok Blangah,0.0041295260854005865
Gramercy Park,Condo,57 Grange Road · Floor #19,1981,6187000,https://www.99.co/singapore/sale/property/gramercy-park-condo-dmSkp5nHXaL5RsmieWmsBc,40.41211,-76.027658,Tuas Link,183.86393418059393
Riverfront Residences,Condo,43 Hougang Avenue 7 · D19,463,578000,https://www.99.co/singapore/sale/property/riverfront-residences-condo-a6TuzdbUKAqB3Ke5oFyuN4,1.371715,103.900472,Hougang,0.00793738445898828
Kandis Residence,Condo,4 Kandis Link · D27,915,1150000,https://www.99.co/singapore/sale/property/kandis-residence-condo-eFAHuyxhHPz9xM6Nna789n,1.457707,103.8375049,Sembawang,0.01946341958700828
Reflections At Keppel Bay,Condo,3 Keppel Bay View · D4,1733,2656500,https://www.99.co/singapore/sale/property/reflections-at-keppel-bay-condo-u68MbKxik3PsLXqVKJwwq3,1.2666139,103.81036,Telok Blangah,0.0041295260854005865
The Criterion,Executive Condo,3 Yishun Street 51 · D27,1249,988000,https://www.99.co/singapore/sale/property/the-criterion-condo-iW7xMBcDt8jFYbHQbu2pJd,1.418324,103.845305,Khatib,0.012370438476471353
The Brownstone,Executive Condo,158 Canberra Drive · D27,915,760800,https://www.99.co/singapore/sale/property/the-brownstone-condo-RUD2xwodaoMZu72rDcfqMT,1.4458247,103.8272163,Sembawang,0.007863952658176465
Northwave,Executive Condo,111 Woodlands View · D25,990,753000,https://www.99.co/singapore/sale/property/northwave-condo-sudtfwCRgEekigiqeT2Wv6,1.4438211,103.8104748,Admiralty,0.010038333886649708
Queens Peak,Condo,1 Dundee Road · Floor #37,936,1673000,https://www.99.co/singapore/sale/property/queens-peak-condo-esUmH4AVhnvT4Q5EaJKSbJ,1.295031,103.807095,Queenstown,0.0012093556962336682
Kingsford Waterbay,Condo,52 Upper Serangoon View · Floor #04,678,967495,https://www.99.co/singapore/sale/property/kingsford-waterbay-condo-H2mpcxY8eGaU38g6WHTv4Z,1.3747664,103.9034487,Kangkar,0.009221088770855658
