name,category,location,area_sqft,price,latitude,longitude,nearestMRT,distance
8 Saint Thomas,Condo,8 Saint Thomas Walk · D9,506,1416000,1.296472,103.836232,Somerset,0.004759373128890198
Iridium,Condo / Apt,Iridium · D11,1184,1888000,1.352083,103.819836,Phoenix,0.0
8 Saint Thomas,Condo,8 Saint Thomas Walk · D9,1744,5421000,1.296472,103.836232,Somerset,0.004759373128890198
353 Ang Mo Kio Street 32,HDB 3 Rooms,353 Ang Mo Kio Street 32 · Floor #16,1184,750000,1.3640602,103.8516073,Ang Mo Kio,0.006247095537124869
8 Saint Thomas,Condo,8 Saint Thomas Walk · D9,1302,4131000,1.296472,103.836232,Somerset,0.004759373128890198
485B Tampines Avenue 9,HDB 4 Rooms,D18,1302,490000,1.3598188,103.9564122,Tampines East,0.003927478002482711
8 Saint Thomas,Condo,8 Saint Thomas Walk · D9,549,1761000,1.296472,103.836232,Somerset,0.004759373128890198
The Clement Canopy,Condo,16 Clementi Avenue 1 · D5,990,1396000,1.3073069,103.7684933,Clementi,0.008513926531276812
The Navian,Condo,178 Jalan Eunos · D14,904,1457000,1.327827,103.906565,Ubi,0.006829335830813273
Parc Esta,Condo,822 Sims Avenue · D14,630,945000,1.318695,103.903444,Eunos,0.001189350150290719
Queens Peak,Condo,1 Dundee Road · Floor #36,840,1619000,1.295031,103.807095,Queenstown,0.0012093556962336322
Le Quest,Condo,8 Bukit Batok Street 41 · D23,699,975000,1.351044,103.741738,Bukit Batok,0.007902417278911656
The Tre Ver,Condo,110 Potong Pasir Avenue 1 · D13,484,738000,1.3364414,103.8651531,Woodleigh,0.006196602749895614
The Crest,Condo,101 Prince Charles Crescent · D3,807,1716000,1.292792,103.818842,Redhill,0.00375536532045007
Jui Residences,Condo,1177 Serangoon Road · D12,700,1090000,1.326262,103.866528,Potong Pasir,0.005517697111115471
Riverfront Residences,Condo,43 Hougang Avenue 7 · D19,1410,1725000,1.371715,103.900472,Hougang,0.00793738445898828
Mayfair Modern,Condo,2 Rifle Range Road · D21,753,1395000,1.337462,103.781482,King Albert Park,0.0021201546358635796
Park Colonial,Condo,2 Woodleigh Lane · D13,463,750000,1.3190408,103.8281809,Stevens,0.002418993385694776
Edelweiss Park Condominium,Condo,80 Flora Road · D17,1055,925000,1.3564628,103.9680306,Tampines East,0.013380392015930585
Carabelle,Condo,59 West Coast Way · D5,1259,1590000,1.317557,103.756492,Clementi,0.009037506788943918
Ewart Park,Good Class Bungalow,Ewart Park · D10,23000,26800000,1.3239294,103.7839231,Dover,0.013597085759087099
The Tapestry,Condo,59 Tampines Street 86 · Floor #10,603,788000,1.3534955,103.9291905,Tampines West,0.011976385692270114
Coco Palms,Condo,25 Pasir Ris Grove · D18,1744,2160000,1.3715865,103.9459701,Pasir Ris,0.0037445668614764917
Mont Botanik Residence,Condo,2 Jalan Remaja · D23,776,1500000,1.357386,103.761442,Hillview,0.008221445464758679
521 Jurong West Street 52,HDB 3 Rooms,D22,721,290000,1.3466353,103.7172873,Lakeside,0.004229650210122422
Sixteen35 Residences,Condo / Apt,16 Lorong 35 Geylang · D14,797,1180000,1.3153138,103.8885694,Paya Lebar,0.00524276948187241
New Futura,Condo / Apt,14 Leonie Hill Road · D9,1830,5904000,1.298136,103.834132,Somerset,0.00505703294234812
Riverfront Residences,Condo,43 Hougang Avenue 7 · D19,463,578000,1.371715,103.900472,Hougang,0.00793738445898828
[email protected],Condo,70 Truro Road · D8,807,1400000,1.3146146,103.8489834,Farrer Park,0.0062092540131760575
The Line @ Tanjong Rhu,Condo,6 Tanjong Rhu Road · D15,1055,2343000,1.2981006,103.8846032,Mountbatten,0.00811442249639494
V On Shenton,Condo,5A Shenton Way · Floor #37,1356,3354000,1.2779081,103.8496597,Tanjong Pagar,0.003280591661577283
Stirling Residences,Condo,21 Stirling Road · D3,441,815000,1.293564,103.805326,Queenstown,0.0013954443020077368
The Trilinq,Condo,28 Jalan Lempeng · D5,700,1236000,1.3181105,103.7620397,Clementi,0.004327512645853657
Artra,Condo,10 Alexandra View · D3,1044,1737000,1.2900845,103.8166799,Redhill,0.0004585235980832859
Rezi 35,Condo,20 Lorong 35 Geylang · D14,840,1171800,1.3161167,103.8889126,Paya Lebar,0.004547782009949722
Jui Residences,Condo,1177 Serangoon Road · D12,463,1160000,1.326262,103.866528,Potong Pasir,0.005517697111115471
Kallang Riverside,Condo,51 Kampong Bugis · D12,1572,3224717,1.3072037,103.8668725,Lavender,0.0040306403970087655
Grandeur Park Residences,Condo,7 Bedok South Avenue 3 · D16,624,998000,1.3235186,103.9448081,Tanah Merah,0.0040877089182074075
Liberte,Condo / Apt,5 Sarkies Road · D10,646,1511000,1.314032,103.836508,Newton,0.0012474578069127545
Amber 45,Condo / Apt,45 Amber Road · D15,614,1499000,1.302636,103.901821,Dakota,0.014230991708241837
Nim Collection,Semi-Detached House,Nim Rise · D28,4252,2900000,1.3790199,103.8621762,Ang Mo Kio,0.015502934031004046
248 Hougang Avenue 3,HDB 3 Rooms,D19,688,280000,1.3593154,103.8926044,Kovan,0.007491182219784551
Mont Botanik Residence,Condo,2 Jalan Remaja · D23,689,1280000,1.357386,103.761442,Hillview,0.008221445464758679
Citylights,Condo,88 Jellicoe Road · D8,872,1450000,1.309416,103.863189,Lavender,0.0020189063896088773
Eight Riversuites,Condo,2 Whampoa East · D12,1356,1780000,1.3216501,103.8645664,Boon Keng,0.0034225886139040208
The Tre Ver,Condo,110 Potong Pasir Avenue 1 · D13,614,898000,1.3364414,103.8651531,Woodleigh,0.006196602749895614
Neem Tree,Apartment,30 Jalan Kemaman · D12,710,1100000,1.3273984,103.8512643,Toa Payoh,0.006249512660995932
